wconfid,Cooler Fan RPM Speed Percentage ID,Accelerometer x value,Accelerometer y value,Accelerometer z value
normal configuration,80.0,0.977,-0.156,-0.172
opposite configuration,80.0,0.977,0.0,-0.094
normal configuration,50.0,0.953,-0.355,-0.109
opposite configuration,45.0,0.988,0.008,-0.133
perpendicular configuration,80.0,1.066,0.066,-0.309
opposite configuration,50.0,0.977,-0.063,-0.125
opposite configuration,20.0,1.039,0.008,-0.129
normal configuration,25.0,0.984,0.082,-0.043
opposite configuration,70.0,2.297,-0.27,-0.281
normal configuration,35.0,0.992,0.012,1.75
normal configuration,55.0,0.9084,-0.873,-0.316
perpendicular configuration,30.0,0.898,-0.008,-0.141
normal configuration,75.0,1.031,-0.09,-0.207
opposite configuration,95.0,1.0,0.066,-0.094
opposite configuration,40.0,0.992,-0.043,-0.102
opposite configuration,55.0,1.0,0.012,-0.379
opposite configuration,20.0,0.926,0.094,-0.152
opposite configuration,30.0,0.988,0.004,-0.133
opposite configuration,55.0,0.922,-0.23,-2.457
perpendicular configuration,50.0,1.008,0.059,-0.813
perpendicular configuration,90.0,0.965,-0.031,-0.039
perpendicular configuration,100.0,0.957,-0.039,0.203
opposite configuration,50.0,1.004,-0.043,-0.215
perpendicular configuration,35.0,1.035,1.039,0.113
perpendicular configuration,95.0,0.859,0.09,-0.125
opposite configuration,90.0,1.012,0.07,-0.117
normal configuration,75.0,0.992,0.094,-0.094
opposite configuration,70.0,1.066,0.008,-1.16
normal configuration,90.0,1.027,0.121,-0.227
normal configuration,85.0,0.945,0.012,-0.102
perpendicular configuration,60.0,0.98,-0.082,-0.121
perpendicular configuration,90.0,1.027,-0.004,-0.383
opposite configuration,50.0,0.91,0.066,-0.102
opposite configuration,100.0,1.465,-1.617,2.414
perpendicular configuration,70.0,1.0,0.711,-0.094
normal configuration,90.0,1.012,0.039,-0.094
normal configuration,95.0,0.965,-0.02,-0.117
opposite configuration,20.0,0.977,-0.035,-0.094
normal configuration,100.0,0.977,-0.02,-0.109
normal configuration,25.0,1.066,-0.051,-0.133
perpendicular configuration,25.0,0.988,-0.066,-0.176
normal configuration,55.0,1.059,-0.031,-0.012
normal configuration,65.0,1.012,-0.023,0.023
opposite configuration,80.0,0.98,-0.039,0.695
normal configuration,100.0,-1.035,-0.152,0.312
perpendicular configuration,50.0,1.0,-0.098,-0.117
normal configuration,50.0,1.047,0.109,-0.145
normal configuration,20.0,0.992,-0.043,-0.094
opposite configuration,55.0,0.957,-0.023,-0.129
perpendicular configuration,50.0,1.039,-0.098,-0.121
normal configuration,100.0,1.02,0.105,0.016
opposite configuration,100.0,0.984,0.098,-0.039
opposite configuration,45.0,1.082,-0.055,-0.73
perpendicular configuration,95.0,0.922,-0.055,-0.117
opposite configuration,90.0,1.047,-0.008,-0.129
opposite configuration,90.0,1.039,0.098,-0.141
opposite configuration,85.0,0.902,-0.039,-0.129
normal configuration,35.0,0.945,0.051,-0.156
opposite configuration,50.0,0.945,-0.105,-0.164
opposite configuration,45.0,1.004,-0.008,-0.145
opposite configuration,80.0,0.973,-0.125,-0.543
opposite configuration,60.0,0.996,-0.156,-0.227
opposite configuration,30.0,1.07,-0.152,-1.617
opposite configuration,80.0,1.312,0.051,-0.008
normal configuration,70.0,-0.105,0.004,-0.219
perpendicular configuration,65.0,1.07,0.066,-0.355
perpendicular configuration,65.0,1.012,-0.012,-0.102
perpendicular configuration,65.0,1.039,-0.004,-0.375
perpendicular configuration,90.0,1.023,0.07,-0.133
opposite configuration,70.0,0.972,0.004,-0.473
normal configuration,50.0,1.023,0.098,-0.098
perpendicular configuration,30.0,0.785,0.125,-0.047
opposite configuration,100.0,0.988,-0.055,-0.187
perpendicular configuration,80.0,0.813,0.039,-0.215
perpendicular configuration,35.0,0.973,-0.059,0.07
perpendicular configuration,60.0,1.031,0.141,-0.117
normal configuration,95.0,0.922,-0.055,-0.148
opposite configuration,40.0,0.992,-0.063,-0.156
opposite configuration,45.0,0.902,0.008,-0.145
perpendicular configuration,20.0,1.066,0.098,-0.121
normal configuration,80.0,0.977,-0.016,-0.063
opposite configuration,65.0,0.936,0.027,-0.102
opposite configuration,80.0,1.004,0.027,-0.145
opposite configuration,90.0,1.0,0.066,-0.141
opposite configuration,95.0,0.988,-0.074,-0.93
normal configuration,30.0,1.027,-0.094,-0.344
normal configuration,85.0,0.895,-0.117,-0.285
opposite configuration,75.0,0.973,-0.152,-0.117
perpendicular configuration,65.0,1.531,0.063,-0.336
perpendicular configuration,35.0,0.977,-0.086,0.359
normal configuration,90.0,1.031,-0.07,-0.105
normal configuration,45.0,1.066,-0.039,-0.121
perpendicular configuration,30.0,0.949,1.031,-0.129
perpendicular configuration,50.0,1.0,0.02,0.836
normal configuration,60.0,0.957,0.043,-0.113
opposite configuration,40.0,1.105,0.051,-1.902
opposite configuration,50.0,0.965,0.031,2.555
perpendicular configuration,100.0,3.586,-0.098,-0.117
opposite configuration,45.0,0.922,0.027,-0.191
normal configuration,100.0,0.898,0.004,-0.145
perpendicular configuration,75.0,1.066,0.09,-0.141
opposite configuration,30.0,1.039,0.105,-0.152
normal configuration,50.0,0.973,0.098,-0.129
normal configuration,75.0,0.711,-0.047,-0.152
opposite configuration,55.0,0.977,0.012,-0.113
normal configuration,35.0,0.98,0.09,-0.398
perpendicular configuration,55.0,0.328,0.02,-0.336
opposite configuration,40.0,0.969,-0.066,-0.281
opposite configuration,30.0,1.031,-0.414,-0.344
normal configuration,75.0,0.977,0.066,-0.137
perpendicular configuration,40.0,0.934,-0.078,-0.004
opposite configuration,50.0,0.984,-0.09,-0.105
normal configuration,60.0,0.996,0.027,-0.102
opposite configuration,35.0,0.977,0.047,-0.148
perpendicular configuration,20.0,0.971,0.078,-0.09
opposite configuration,40.0,1.035,0.066,-0.125
normal configuration,50.0,0.902,-0.023,-0.113
opposite configuration,25.0,0.926,-0.027,0.043
normal configuration,70.0,1.098,0.027,-0.125
normal configuration,55.0,1.02,-0.09,-0.75
normal configuration,65.0,0.741,0.152,0.227
perpendicular configuration,85.0,1.004,0.02,-0.363
perpendicular configuration,50.0,0.988,-0.023,-0.461
normal configuration,50.0,1.047,0.051,-1.016
normal configuration,35.0,1.004,-0.07,-0.379
opposite configuration,45.0,0.801,-0.152,-0.172
normal configuration,75.0,0.973,-0.09,-2.285
opposite configuration,65.0,0.93,-0.102,-0.148
perpendicular configuration,75.0,1.0,0.066,-0.109
normal configuration,80.0,0.895,0.004,-0.508
perpendicular configuration,80.0,1.172,0.035,-0.102
perpendicular configuration,65.0,0.827,0.566,-0.309
opposite configuration,35.0,0.98,0.066,-0.09
normal configuration,100.0,0.941,0.035,0.078
normal configuration,55.0,0.764,-0.121,1.219
opposite configuration,40.0,0.933,0.0,-0.723
perpendicular configuration,75.0,1.027,0.016,-0.137
perpendicular configuration,70.0,0.777,0.098,-0.184
normal configuration,20.0,0.977,-0.07,-0.117
normal configuration,25.0,0.966,-0.156,-0.422
normal configuration,70.0,1.031,-0.023,-1.059
opposite configuration,35.0,0.125,0.004,-0.055
normal configuration,65.0,1.016,-0.063,-0.109
normal configuration,85.0,0.9375,-0.148,-0.105
perpendicular configuration,100.0,1.066,0.066,-0.09
normal configuration,30.0,0.965,0.07,-0.129
perpendicular configuration,30.0,0.957,0.074,-0.316
normal configuration,50.0,1.066,-0.078,1.754
opposite configuration,100.0,0.992,-0.094,-0.73
normal configuration,60.0,0.566,-0.066,-0.125
normal configuration,25.0,0.957,0.09,-0.121
normal configuration,45.0,1.34,0.008,-0.355
normal configuration,50.0,0.977,0.023,1.391
normal configuration,25.0,1.039,0.086,-0.098
normal configuration,30.0,1.023,0.066,-0.145
opposite configuration,60.0,0.98,0.07,0.023
perpendicular configuration,30.0,1.016,-0.09,-0.141
normal configuration,55.0,1.004,0.016,-0.309
normal configuration,80.0,0.969,0.008,0.125
opposite configuration,45.0,1.07,0.027,-0.125
perpendicular configuration,45.0,0.98,0.02,-0.125
normal configuration,45.0,0.977,0.09,0.312
opposite configuration,40.0,0.957,-0.07,-0.117
perpendicular configuration,65.0,0.965,0.094,-0.117
opposite configuration,30.0,0.977,0.043,-0.098
opposite configuration,35.0,1.039,0.039,-0.09
normal configuration,100.0,1.043,-0.004,-0.168
normal configuration,95.0,1.031,-0.004,-0.145
normal configuration,65.0,1.02,-0.012,0.043
normal configuration,70.0,1.039,0.09,-0.109
normal configuration,20.0,1.105,0.312,-1.535
perpendicular configuration,100.0,0.961,-0.207,-0.133
perpendicular configuration,45.0,0.862,0.07,-0.242
perpendicular configuration,80.0,0.977,0.063,0.07
perpendicular configuration,100.0,1.09,0.0,0.238
perpendicular configuration,45.0,1.09,0.027,-0.152
normal configuration,45.0,1.023,0.051,0.961
normal configuration,60.0,1.039,-0.066,0.078
normal configuration,100.0,0.902,1.082,-0.129
opposite configuration,80.0,0.973,0.004,-0.023
normal configuration,45.0,1.07,0.004,-0.109
perpendicular configuration,75.0,1.066,0.051,-0.25
perpendicular configuration,60.0,1.0,0.063,-0.133
opposite configuration,25.0,1.047,0.094,-0.113
perpendicular configuration,40.0,0.9791,0.532,-0.129
perpendicular configuration,50.0,1.004,-0.066,-0.094
normal configuration,35.0,0.988,0.211,-0.152
normal configuration,50.0,1.184,0.059,-0.141
opposite configuration,75.0,0.898,0.004,0.113
opposite configuration,75.0,0.988,0.043,-0.336
perpendicular configuration,60.0,0.977,0.145,-0.113
opposite configuration,65.0,1.078,0.857,-0.379
perpendicular configuration,25.0,0.98,0.902,-0.125
opposite configuration,30.0,1.02,-0.078,-0.926
perpendicular configuration,45.0,1.547,0.086,-0.547
normal configuration,20.0,0.09,0.031,-0.047
perpendicular configuration,80.0,0.969,-0.125,-0.098
normal configuration,70.0,0.965,0.094,-0.148
normal configuration,50.0,1.008,-0.105,-0.133
opposite configuration,40.0,0.984,0.016,-0.316
perpendicular configuration,20.0,0.984,0.055,-0.199
normal configuration,40.0,0.977,-0.047,0.141
perpendicular configuration,70.0,1.004,0.051,-0.121
perpendicular configuration,100.0,0.941,-0.02,-0.379
normal configuration,30.0,1.051,0.09,-0.336
perpendicular configuration,95.0,0.926,0.047,0.777
perpendicular configuration,35.0,1.0,-2.16,-1.16
opposite configuration,30.0,0.965,-0.059,-0.109
normal configuration,20.0,0.621,0.023,-0.227
perpendicular configuration,35.0,0.988,0.098,0.629
opposite configuration,40.0,0.965,-0.039,-0.156
normal configuration,55.0,1.035,0.07,-0.742
opposite configuration,50.0,0.957,0.039,0.125
opposite configuration,90.0,1.008,0.066,-0.289
normal configuration,95.0,0.926,0.066,-0.094
normal configuration,35.0,0.996,0.035,-0.129
normal configuration,100.0,0.926,0.023,-0.543
perpendicular configuration,25.0,0.957,-0.07,-0.059
normal configuration,35.0,0.988,-0.105,-0.152
normal configuration,25.0,1.016,-0.031,-0.063
opposite configuration,55.0,0.98,0.109,-0.492
normal configuration,60.0,1.07,0.09,-1.98
normal configuration,100.0,1.027,0.055,-1.07
normal configuration,85.0,0.953,-0.547,-0.133
opposite configuration,65.0,0.926,-0.066,0.355
opposite configuration,40.0,0.973,0.031,-0.621
perpendicular configuration,50.0,0.988,0.105,-0.059
normal configuration,50.0,0.871,0.066,-0.152
perpendicular configuration,75.0,0.98,-0.078,-0.133
opposite configuration,60.0,1.008,-0.023,-0.223
normal configuration,40.0,0.973,-0.09,-0.141
opposite configuration,30.0,0.977,0.047,-0.012
opposite configuration,35.0,1.039,1.039,-0.152
normal configuration,35.0,0.965,0.02,-0.145
opposite configuration,75.0,0.895,-0.117,-0.133
perpendicular configuration,95.0,0.965,-0.09,-0.113
perpendicular configuration,90.0,0.977,-0.031,-0.094
normal configuration,80.0,1.082,0.137,-0.316
opposite configuration,25.0,0.98,0.047,0.586
opposite configuration,60.0,0.957,0.008,0.145
opposite configuration,65.0,0.965,-0.016,-0.121
opposite configuration,50.0,1.008,0.09,-0.094
opposite configuration,40.0,0.969,0.07,-0.035
perpendicular configuration,90.0,0.984,0.07,-0.16
opposite configuration,70.0,1.02,0.031,-0.109
opposite configuration,20.0,0.949,0.063,-0.09
perpendicular configuration,75.0,0.883,-0.023,-0.121
opposite configuration,90.0,0.996,-0.063,-0.93
opposite configuration,55.0,1.031,0.098,-0.125
opposite configuration,45.0,1.109,-0.059,-0.121
perpendicular configuration,65.0,0.992,-0.027,-0.156
opposite configuration,55.0,1.016,0.133,-0.121
opposite configuration,50.0,0.992,0.051,-0.145
normal configuration,30.0,0.957,-0.063,0.129
normal configuration,55.0,1.242,-0.055,-0.242
perpendicular configuration,40.0,1.0,0.016,-0.102
normal configuration,90.0,0.977,0.063,0.273
opposite configuration,95.0,1.02,-0.078,-0.191
opposite configuration,75.0,0.965,-0.098,0.25
normal configuration,25.0,0.98,-0.008,0.586
perpendicular configuration,70.0,1.133,0.0,-0.148
opposite configuration,40.0,0.818,-0.113,-0.117
opposite configuration,40.0,0.984,-0.078,0.004
perpendicular configuration,70.0,0.988,-0.008,-0.109
opposite configuration,95.0,1.023,0.043,-0.109
opposite configuration,85.0,1.0,0.055,-0.117
perpendicular configuration,40.0,1.031,0.047,-0.113
normal configuration,30.0,0.961,-0.059,-0.137
opposite configuration,90.0,1.016,0.121,-0.129
opposite configuration,45.0,0.965,-0.02,-0.113
normal configuration,80.0,0.25,-0.156,-0.008
perpendicular configuration,95.0,0.996,0.027,-0.047
normal configuration,55.0,1.02,-0.082,-0.187
opposite configuration,70.0,1.016,-0.098,-0.109
opposite configuration,35.0,1.254,0.0,-0.383
opposite configuration,90.0,1.023,-0.117,-0.168
opposite configuration,20.0,1.008,0.051,-0.016
opposite configuration,55.0,0.977,-0.074,-0.148
perpendicular configuration,80.0,0.895,-0.008,-0.461
normal configuration,40.0,0.945,-0.02,-0.117
perpendicular configuration,55.0,1.02,0.344,-0.488
opposite configuration,65.0,1.004,0.09,-0.105
perpendicular configuration,80.0,1.066,-0.031,-0.344
opposite configuration,25.0,0.957,-0.043,-0.465
normal configuration,35.0,0.965,-0.129,-0.125
normal configuration,45.0,0.895,-0.059,-0.129
normal configuration,30.0,1.039,-0.004,-0.254
opposite configuration,100.0,1.004,-0.02,-0.133
opposite configuration,50.0,0.965,-0.031,-0.336
perpendicular configuration,45.0,1.074,-0.098,-0.152
opposite configuration,65.0,0.969,0.059,-0.098
opposite configuration,85.0,0.965,0.02,-0.113
normal configuration,95.0,1.348,-0.398,-0.328
normal configuration,40.0,0.957,-0.016,-0.164
opposite configuration,90.0,0.988,-1.895,-0.363
opposite configuration,100.0,0.953,-0.023,-0.121
normal configuration,35.0,1.02,-0.047,-0.422
opposite configuration,35.0,1.027,-0.051,-0.137
perpendicular configuration,40.0,0.664,0.031,-0.461
opposite configuration,40.0,1.016,-0.988,-0.051
perpendicular configuration,75.0,0.98,-0.027,0.77
normal configuration,85.0,0.973,0.008,-0.129
perpendicular configuration,75.0,0.98,-0.051,-0.93
normal configuration,35.0,1.004,-0.082,0.684
opposite configuration,40.0,0.922,0.043,-0.129
perpendicular configuration,80.0,0.977,0.051,-0.5
perpendicular configuration,30.0,0.988,0.078,-0.148
perpendicular configuration,100.0,1.27,0.07,-0.121
opposite configuration,80.0,0.883,-0.008,-0.051
perpendicular configuration,90.0,0.984,0.094,-1.652
normal configuration,40.0,1.137,0.129,-0.129
perpendicular configuration,40.0,1.082,-0.07,0.105
perpendicular configuration,55.0,0.988,-0.039,-0.141
normal configuration,80.0,1.0,0.051,-0.355
opposite configuration,45.0,0.973,0.039,-0.125
normal configuration,45.0,0.973,0.004,-0.129
opposite configuration,60.0,1.09,0.012,0.129
normal configuration,85.0,1.066,0.035,0.07
normal configuration,30.0,1.008,0.023,0.102
normal configuration,70.0,0.926,-0.543,0.438
normal configuration,65.0,0.973,0.07,-0.145
normal configuration,40.0,0.973,-0.098,-0.199
normal configuration,35.0,0.973,-0.035,-0.023
perpendicular configuration,20.0,1.0,-0.098,-0.016
opposite configuration,25.0,0.984,-1.016,-2.191
opposite configuration,65.0,0.77,-0.066,-0.461
normal configuration,25.0,0.984,-0.027,-0.297
perpendicular configuration,85.0,0.98,0.008,-0.129
normal configuration,40.0,0.98,-0.23,-0.473
perpendicular configuration,60.0,0.988,0.008,-0.117
normal configuration,65.0,0.98,-0.09,-0.117
opposite configuration,40.0,0.977,-0.25,-2.285
normal configuration,40.0,1.02,-0.078,-0.16
normal configuration,60.0,0.992,-0.086,-0.152
normal configuration,85.0,1.066,-0.02,-0.102
perpendicular configuration,65.0,0.988,0.082,-0.051
opposite configuration,60.0,0.988,-0.012,-0.223
normal configuration,30.0,0.977,0.031,-0.145
normal configuration,40.0,1.004,-0.016,-0.184
opposite configuration,45.0,1.004,0.051,1.391
opposite configuration,35.0,1.0,-0.02,-0.133
perpendicular configuration,60.0,1.07,0.109,-0.301
perpendicular configuration,20.0,1.0,-0.156,-0.113
normal configuration,90.0,1.25,-0.074,0.25
opposite configuration,50.0,1.016,0.0,0.555
normal configuration,45.0,0.943,-0.168,-0.125
normal configuration,100.0,0.953,-0.031,-0.121
perpendicular configuration,70.0,0.93,0.047,-0.023
perpendicular configuration,70.0,1.09,0.148,-0.465
opposite configuration,20.0,1.02,-0.07,-1.398
perpendicular configuration,65.0,0.988,0.004,-0.133
opposite configuration,20.0,1.066,-0.008,1.816
perpendicular configuration,50.0,0.977,0.063,-0.035
opposite configuration,80.0,1.012,-0.09,-0.105
normal configuration,50.0,0.965,0.086,-0.141
opposite configuration,35.0,0.977,-0.023,-0.5
opposite configuration,50.0,0.922,-0.105,-0.145
perpendicular configuration,25.0,0.977,0.141,-0.121
normal configuration,50.0,1.02,0.059,-0.008
opposite configuration,45.0,1.0,-0.09,0.09
perpendicular configuration,40.0,1.016,-0.09,0.023
perpendicular configuration,35.0,1.098,-0.059,-0.129
normal configuration,45.0,0.941,-0.211,0.699
normal configuration,20.0,0.977,0.0,-0.332
perpendicular configuration,25.0,0.957,0.012,-0.09
opposite configuration,45.0,0.988,0.07,-0.066
normal configuration,30.0,0.988,-0.07,-0.121
opposite configuration,55.0,0.977,0.051,-0.121
opposite configuration,55.0,0.977,0.063,-0.004
perpendicular configuration,20.0,0.957,-0.02,-0.121
perpendicular configuration,45.0,1.027,0.043,-0.117
normal configuration,20.0,1.02,0.031,1.207
perpendicular configuration,95.0,0.98,0.176,-0.133
opposite configuration,30.0,1.023,0.086,-0.047
normal configuration,50.0,1.0,-0.082,-0.113
opposite configuration,60.0,1.012,0.027,-0.109
opposite configuration,50.0,0.895,-0.004,-0.121
normal configuration,50.0,0.984,0.02,-0.148
normal configuration,30.0,1.004,-0.07,-0.105
opposite configuration,60.0,0.973,0.117,-0.152
perpendicular configuration,70.0,-1.879,-0.3442,-0.383
normal configuration,25.0,1.004,-0.066,-0.152
normal configuration,25.0,1.047,0.078,1.703
normal configuration,35.0,0.98,0.066,-0.344
normal configuration,40.0,1.039,-0.141,0.129
normal configuration,60.0,1.02,0.09,0.332
normal configuration,35.0,0.961,0.098,-0.082
normal configuration,65.0,-0.16,-0.082,0.219
perpendicular configuration,50.0,1.0,-0.059,-0.098
normal configuration,80.0,0.996,0.145,-0.117
opposite configuration,45.0,1.0,-0.066,-0.273
perpendicular configuration,55.0,0.977,0.02,-0.145
perpendicular configuration,55.0,0.988,0.098,-0.328
normal configuration,25.0,0.977,-0.051,-0.406
opposite configuration,75.0,0.934,0.02,-0.348
normal configuration,95.0,1.141,0.211,-0.133
normal configuration,50.0,1.816,0.094,-1.426
opposite configuration,75.0,0.973,-0.082,-0.156
perpendicular configuration,80.0,1.008,0.035,-0.008
perpendicular configuration,55.0,1.039,0.078,-0.117
opposite configuration,60.0,1.066,-0.066,0.574
opposite configuration,100.0,0.988,0.066,-0.141
perpendicular configuration,100.0,1.16,0.066,-0.168
opposite configuration,75.0,0.977,-0.004,-0.133
perpendicular configuration,55.0,1.035,0.066,-0.195
opposite configuration,50.0,1.016,0.094,-0.109
perpendicular configuration,35.0,1.0,0.0,-0.137
normal configuration,25.0,0.979,0.344,-0.547
perpendicular configuration,65.0,1.539,0.066,-0.133
normal configuration,40.0,0.731,-0.008,-0.012
normal configuration,30.0,1.965,-0.152,1.441
normal configuration,65.0,1.023,-0.047,-0.094
opposite configuration,35.0,1.039,0.008,-0.051
perpendicular configuration,30.0,0.977,0.02,-0.086
perpendicular configuration,100.0,0.984,0.008,-0.18
opposite configuration,85.0,1.039,-0.031,2.574
normal configuration,95.0,0.965,-0.051,-0.531
perpendicular configuration,35.0,0.977,0.125,-0.121
perpendicular configuration,80.0,1.008,-0.082,-0.238
opposite configuration,70.0,0.902,-0.047,-0.191
normal configuration,35.0,0.895,0.004,-0.016
opposite configuration,40.0,0.988,-0.09,-0.445
perpendicular configuration,70.0,1.066,0.059,0.02
perpendicular configuration,65.0,1.02,-0.0,-0.156
perpendicular configuration,65.0,1.0,0.07,-0.109
perpendicular configuration,20.0,0.977,0.051,-0.117
perpendicular configuration,50.0,1.0,-0.051,-0.094
normal configuration,95.0,1.023,0.055,-0.102
perpendicular configuration,100.0,1.008,0.066,-0.113
opposite configuration,55.0,1.004,-0.059,-0.137
opposite configuration,60.0,0.918,-0.094,-0.203
opposite configuration,30.0,1.0,0.0,-0.074
perpendicular configuration,35.0,0.977,0.07,-0.117
normal configuration,25.0,0.977,-0.09,-0.055
normal configuration,75.0,1.062,0.047,0.09
opposite configuration,60.0,-0.949,0.078,-0.23
opposite configuration,25.0,1.055,0.008,-0.5
perpendicular configuration,80.0,0.969,0.039,-0.75
opposite configuration,100.0,1.25,0.27,0.758
normal configuration,25.0,1.016,0.078,-1.09
opposite configuration,50.0,0.988,-0.02,-0.309
normal configuration,55.0,0.895,-0.078,-0.156
opposite configuration,90.0,0.988,-0.109,-0.531
perpendicular configuration,65.0,0.977,0.039,1.219
perpendicular configuration,25.0,1.254,0.004,-0.137
perpendicular configuration,55.0,0.969,-0.145,-0.137
normal configuration,60.0,1.031,0.016,-0.148
normal configuration,70.0,0.973,0.039,-0.672
opposite configuration,90.0,0.906,-0.078,-0.121
opposite configuration,25.0,1.023,-0.098,-0.199
perpendicular configuration,90.0,1.004,0.004,-0.137
perpendicular configuration,45.0,0.977,0.066,0.312
normal configuration,100.0,1.02,0.023,0.371
perpendicular configuration,60.0,0.984,0.242,-0.094
perpendicular configuration,25.0,1.004,-0.008,-0.145
opposite configuration,85.0,0.965,0.055,-0.156
opposite configuration,90.0,1.012,0.008,-0.047
opposite configuration,65.0,2.039,-0.094,2.344
normal configuration,75.0,0.0,0.004,-0.156
perpendicular configuration,85.0,0.984,0.02,-0.336
perpendicular configuration,55.0,0.977,-0.031,-0.098
opposite configuration,55.0,0.977,-0.125,-0.137
perpendicular configuration,35.0,0.996,0.063,-0.121
normal configuration,85.0,0.977,-0.023,-2.457
perpendicular configuration,80.0,2.57,-0.039,2.574
opposite configuration,25.0,0.934,0.063,-0.133
perpendicular configuration,35.0,0.845,0.055,-0.176
opposite configuration,75.0,1.07,0.066,-0.152
opposite configuration,40.0,1.023,0.023,-0.254
perpendicular configuration,35.0,1.02,0.027,-0.207
perpendicular configuration,40.0,1.004,0.094,-0.117
perpendicular configuration,75.0,0.973,-0.063,-0.43
opposite configuration,90.0,-1.521,-0.031,-0.211
perpendicular configuration,55.0,1.098,-0.004,0.035
perpendicular configuration,50.0,0.883,-0.027,-0.227
normal configuration,45.0,1.012,-0.09,0.512
normal configuration,55.0,1.082,-0.113,-0.426
normal configuration,70.0,1.082,-0.016,-0.125
normal configuration,100.0,1.062,0.059,-0.586
opposite configuration,60.0,1.031,-1.902,-1.211
perpendicular configuration,40.0,0.965,0.312,-0.191
opposite configuration,70.0,1.02,-0.07,-1.578
perpendicular configuration,20.0,0.984,-0.035,-0.145
normal configuration,30.0,0.957,-0.086,-0.133
perpendicular configuration,50.0,0.957,-0.031,-0.078
opposite configuration,20.0,0.953,-0.035,-1.172
perpendicular configuration,75.0,1.02,0.02,-0.086
opposite configuration,65.0,1.02,0.016,-0.129
normal configuration,55.0,1.02,-0.098,-0.125
normal configuration,95.0,0.949,0.055,-0.813
perpendicular configuration,40.0,1.066,-0.051,-0.152
opposite configuration,35.0,1.004,0.078,-0.215
normal configuration,55.0,1.02,0.07,-0.398
perpendicular configuration,40.0,0.965,0.828,-0.137
opposite configuration,60.0,0.98,-0.02,-0.102
opposite configuration,50.0,1.211,-0.051,-0.117
opposite configuration,25.0,0.965,-0.047,-0.113
normal configuration,30.0,0.923,0.098,-0.16
perpendicular configuration,40.0,0.93,-0.059,-0.691
normal configuration,70.0,-0.988,0.027,-0.117
opposite configuration,75.0,0.9881,0.078,-0.152
normal configuration,100.0,0.965,-0.07,-0.281
